Country code,Zip code,T12,T09,T10
SK,97404,x,,
SK,97405,x,,
SK,97406,x,,
SK,97408,x,,
SK,97409,x,,
SK,97411,x,,
SK,97575,x,,
SK,97631,x,,
SK,97632,x,,
SK,97901,x,,
SK,98999,x,,
RS,11000,x,,
RS,11010,x,,
RS,11030,x,,
RS,11040,x,,
RS,11050,x,,
RS,11060,x,,
RS,11070,x,,
RS,11080,x,,
RS,11090,x,,
RS,11100,x,,
RS,11108,x,,
RS,11147,x,,
RS,11160,x,,
RS,11185,x,,
RS,11273,x,,
RS,18000,x,,
RS,21000,x,,
RS,21131,x,,
RS,34000,x,,
RO,010011,x,,
RO,010012,x,,
RO,010013,x,,
RO,010014,x,,
RO,010015,x,,
RO,010016,x,,
RO,010017,x,,
RO,010018,x,,
RO,010019,x,,
RO,010021,x,,
RO,010022,x,,
RO,010023,x,,
RO,010024,x,,
RO,010025,x,,
RO,010026,x,,
RO,010027,x,,
RO,010028,x,,
RO,010029,x,,
RO,010031,x,,
RO,010032,x,,
RO,010033,x,,
RO,010034,x,,
RO,010035,x,,
RO,010036,x,,
RO,010037,x,,
RO,010038,x,,
RO,010039,x,,
RO,010041,x,,
RO,010042,x,,
RO,010043,x,,
RO,010044,x,,
RO,010045,x,,
RO,010046,x,,
RO,010051,x,,
RO,010052,x,,
RO,010053,x,,
RO,010054,x,,
RO,010055,x,,
RO,010056,x,,
RO,010061,x,,
RO,010062,x,,
RO,010063,x,,
RO,010064,x,,
RO,010065,x,,
RO,010066,x,,
RO,010067,x,,
RO,010068,x,,
RO,010069,x,,
RO,010071,x,,
RO,010072,x,,
RO,010073,x,,
RO,010074,x,,
RO,010081,x,,
RO,010082,x,,
RO,010083,x,,
RO,010084,x,,
RO,010085,x,,
RO,010086,x,,
RO,010091,x,,
RO,010092,x,,
RO,010093,x,,
RO,010094,x,,
RO,010095,x,,
RO,010096,x,,
RO,010097,x,,
RO,010098,x,,
RO,010099,x,,
RO,010101,x,,
RO,010102,x,,
RO,010103,x,,
RO,010104,x,,
RO,010105,x,,
RO,010106,x,,
RO,010107,x,,
RO,010108,x,,
RO,010109,x,,
RO,010111,x,,
RO,010112,x,,
RO,010113,x,,
RO,010114,x,,
RO,010115,x,,
RO,010116,x,,
